letter

Select every 20

Validation Accuracies
|Subset Size (%)|Sup FacLoc with val|Sup FacLoc with trn|One - Step Taylor|Random|CRAIG|Full Data Training|Rand-Reg One-Step|Fac Loc Reg One-Step|
|10|44.62222222222222|42.955555555555556|51.644444444444446|46.68888888888889|51.31111111111111|51.84444444444444|52.51111111111111|51.13333333333333|
|20|46.17777777777778|44.48888888888889|52.17777777777778|49.28888888888889|51.733333333333334|51.84444444444444|52.86666666666667|52.06666666666667|
|30|49.977777777777774|44.48888888888889|54.08888888888889|49.82222222222222|51.666666666666664|51.84444444444444|53.355555555555554|54.37777777777778|
|40|51.37777777777778|45.93333333333333|54.53333333333333|52.733333333333334|51.644444444444446|51.84444444444444|54.55555555555556|54.44444444444444|
|70|51.888888888888886|46.6|53.15555555555556|51.333333333333336|51.71111111111111|51.84444444444444|54.93333333333333|53.733333333333334|
|80|52.48888888888889|47.888888888888886|53.266666666666666|50.82222222222222|51.888888888888886|51.84444444444444|54.71111111111111|53.46666666666667|
|90|51.8|49.82222222222222|53.24444444444445|51.44444444444444|51.86666666666667|51.84444444444444|53.666666666666664|53.44444444444444|

Test Accuracies
|Subset Size (%)|Sup FacLoc with val|Sup FacLoc with trn|One - Step Taylor|Random|CRAIG|Full Data Training|Rand-Reg One-Step|Fac Loc Reg One-Step|
|10|43.86|42.3|50.76|45.54|49.6|50.38|51.52|50.72|
|20|44.58|43.06|51.22|47.76|50.28|50.38|51.96|51.58|
|30|48.62|42.86|52.32|48.28|50.12|50.38|51.84|53.08|
|40|49.58|44.52|52.8|51.48|50.22|50.38|53.2|53.18|
|70|50.38|45.4|52.1|49.88|50.4|50.38|53.14|52.4|
|80|50.8|46.58|52.34|49.68|50.38|50.38|53.48|52.74|
|90|50.06|48.16|51.74|49.6|50.42|50.38|52.04|52.28|
