letter

Select every 20

Validation Accuracies
|Subset Size (%)|Sup FacLoc with val|Sup FacLoc with trn|One - Step Taylor|Random|CRAIG|Full Data Training|Rand-Reg One-Step|Fac Loc Reg One-Step|
|10|15.088888888888889|16.622222222222224|43.06666666666667|15.066666666666666|27.844444444444445|28.31111111111111|43.24444444444445|41.22222222222222|
|20|20.77777777777778|20.0|36.82222222222222|20.2|28.57777777777778|28.31111111111111|37.4|29.044444444444444|
|30|25.288888888888888|19.622222222222224|34.93333333333333|21.42222222222222|26.755555555555556|26.42222222222222|35.8|26.444444444444443|
|40|25.8|19.377777777777776|32.51111111111111|23.733333333333334|27.844444444444445|28.0|35.2|22.31111111111111|
|50|21.733333333333334|22.77777777777778|30.68888888888889|25.4|25.666666666666668|26.11111111111111|33.91111111111111|19.444444444444443|
|60|25.244444444444444|22.644444444444446|27.68888888888889|25.622222222222224|27.444444444444443|27.155555555555555|30.844444444444445|18.2|
|70|25.755555555555556|23.644444444444446|26.822222222222223|27.2|27.488888888888887|27.22222222222222|29.77777777777778|19.4|
|80|26.266666666666666|25.244444444444444|24.177777777777777|28.11111111111111|28.044444444444444|28.133333333333333|29.977777777777778|17.288888888888888|
|90|30.355555555555554|26.644444444444446|26.844444444444445|31.77777777777778|31.044444444444444|31.133333333333333|31.266666666666666|21.622222222222224|

Test Accuracies
|Subset Size (%)|Sup FacLoc with val|Sup FacLoc with trn|One - Step Taylor|Random|CRAIG|Full Data Training|Rand-Reg One-Step|Fac Loc Reg One-Step|
|10|14.0|15.26|41.28|14.62|27.52|27.26|41.32|39.46|
|20|20.64|19.9|36.4|20.48|27.62|27.4|36.68|29.38|
|30|24.98|19.7|34.76|22.4|27.14|26.78|35.26|25.46|
|40|24.36|18.96|33.08|24.5|27.74|27.46|35.34|22.02|
|50|21.18|21.7|30.92|25.26|25.82|26.2|33.92|19.6|
|60|25.88|21.56|28.96|26.22|28.04|28.18|31.44|17.84|
|70|25.9|23.0|26.76|27.56|28.28|28.1|29.9|18.54|
|80|26.02|24.96|24.2|27.06|27.6|27.48|29.98|17.72|
|90|29.72|25.56|25.72|30.5|29.9|30.04|30.62|21.62|
