svmguide1

Select every 20

Validation Accuracies
|Subset Size (%)|Sup FacLoc with val|Sup FacLoc with trn|One - Step Taylor|Random|CRAIG|Full Data Training|Rand-Reg One-Step|Fac Loc Reg One-Step|
|10|91.91919191919192|91.91919191919192|93.43434343434343|90.9090909090909|92.42424242424242|92.42424242424242|93.43434343434343|93.43434343434343|
|20|91.41414141414141|91.41414141414141|92.92929292929293|91.91919191919192|92.42424242424242|92.42424242424242|93.43434343434343|92.92929292929293|
|30|90.9090909090909|90.9090909090909|92.92929292929293|91.41414141414141|92.42424242424242|92.42424242424242|93.43434343434343|92.92929292929293|
|40|90.9090909090909|90.9090909090909|93.43434343434343|91.41414141414141|92.42424242424242|92.42424242424242|93.43434343434343|92.92929292929293|
|50|90.9090909090909|90.9090909090909|93.43434343434343|92.42424242424242|92.42424242424242|92.42424242424242|92.92929292929293|92.92929292929293|
|60|91.41414141414141|91.41414141414141|93.43434343434343|92.42424242424242|92.42424242424242|92.42424242424242|92.92929292929293|92.92929292929293|
|70|91.91919191919192|91.91919191919192|93.43434343434343|92.42424242424242|92.42424242424242|92.42424242424242|92.92929292929293|93.43434343434343|
|80|91.91919191919192|91.91919191919192|92.92929292929293|92.42424242424242|92.42424242424242|92.42424242424242|92.92929292929293|92.92929292929293|
|90|92.42424242424242|92.42424242424242|92.92929292929293|92.42424242424242|92.42424242424242|92.42424242424242|92.42424242424242|92.42424242424242|

Test Accuracies
|Subset Size (%)|Sup FacLoc with val|Sup FacLoc with trn|One - Step Taylor|Random|CRAIG|Full Data Training|Rand-Reg One-Step|Fac Loc Reg One-Step|
|10|93.125|93.125|93.8|91.7|92.175|92.325|93.625|93.75|
|20|93.2|93.2|93.35|92.175|92.275|92.325|93.4|92.775|
|30|93.275|93.275|93.05|92.0|92.325|92.325|93.25|92.65|
|40|93.225|93.225|93.2|92.05|92.35|92.325|93.025|92.65|
|50|92.95|92.95|93.15|92.325|92.35|92.325|93.025|92.625|
|60|92.9|92.9|93.2|92.2|92.3|92.325|92.825|92.85|
|70|92.75|92.75|93.275|92.6|92.325|92.325|92.8|92.925|
|80|92.575|92.575|92.775|92.525|92.325|92.325|92.65|93.025|
|90|92.275|92.275|92.575|92.35|92.325|92.325|92.35|92.55|
