svmguide1

Select every 20

Validation Accuracies
|Subset Size (%)|Sup FacLoc with val|Sup FacLoc with trn|One - Step Taylor|Random|CRAIG|Full Data Training|Rand-Reg One-Step|Fac Loc Reg One-Step|
|10|73.73737373737374|73.73737373737374|94.44444444444444|69.1919191919192|89.8989898989899|89.8989898989899|93.43434343434343|49.494949494949495|
|20|74.74747474747475|74.74747474747475|94.44444444444444|79.79797979797979|87.87878787878788|89.8989898989899|94.44444444444444|47.474747474747474|
|30|74.24242424242425|74.24242424242425|93.43434343434343|86.36363636363636|89.8989898989899|89.8989898989899|93.43434343434343|49.494949494949495|
|40|77.27272727272727|77.27272727272727|91.91919191919192|85.85858585858585|89.8989898989899|89.8989898989899|92.92929292929293|48.98989898989899|
|50|76.26262626262626|76.26262626262626|88.88888888888889|84.84848484848484|88.88888888888889|89.8989898989899|90.9090909090909|48.484848484848484|
|60|84.84848484848484|84.84848484848484|87.87878787878788|86.86868686868686|89.8989898989899|89.8989898989899|87.87878787878788|49.494949494949495|
|70|87.87878787878788|87.87878787878788|87.87878787878788|86.86868686868686|89.39393939393939|89.8989898989899|89.8989898989899|49.494949494949495|
|80|87.87878787878788|87.87878787878788|85.35353535353535|88.88888888888889|89.8989898989899|89.8989898989899|90.4040404040404|49.494949494949495|
|90|90.4040404040404|90.4040404040404|83.83838383838383|90.4040404040404|89.8989898989899|89.8989898989899|90.4040404040404|66.16161616161617|

Test Accuracies
|Subset Size (%)|Sup FacLoc with val|Sup FacLoc with trn|One - Step Taylor|Random|CRAIG|Full Data Training|Rand-Reg One-Step|Fac Loc Reg One-Step|
|10|76.7|76.7|93.45|72.325|89.325|89.4|93.3|49.3|
|20|74.475|74.475|92.6|82.475|89.475|89.4|92.975|47.8|
|30|76.075|76.075|91.325|87.1|89.3|89.4|91.125|48.0|
|40|78.55|78.55|90.075|87.925|89.35|89.4|90.825|48.025|
|50|78.5|78.5|88.125|85.4|89.375|89.4|89.7|47.7|
|60|85.0|85.0|87.1|87.25|89.325|89.4|89.1|47.925|
|70|86.075|86.075|85.375|87.55|89.35|89.4|88.85|48.475|
|80|88.55|88.55|83.625|88.9|89.45|89.4|89.525|49.9|
|90|89.725|89.725|83.675|90.4|89.4|89.4|89.45|69.85|
